File,LinesCount,LinesAvgLength,LineCodeProportion,LineBlankProportion,TypesCount,ClassProportion,TraitProportion,MaxChildren,MethodCount,PrivateMethodProportion,ProtectedMethodProportion,MethodOverrideProportion,FinalMethodProportion,VarLocalCount,VarFieldCount,MagicNumbersCount
core/src/test/scala/org/apache/spark/rdd/PartitionPruningRDDSuite.scala,76,31,0.618421052631579,0.18421052631578946,2,1.0,0.0,1,6,0.0,0.3333333333333333,0.3333333333333333,0.0,0,0,3
core/src/test/scala/org/apache/spark/rdd/PartitionwiseSampledRDDSuite.scala,59,34,0.559322033898305,0.1864406779661017,2,1.0,0.0,1,4,0.0,0.0,1.0,0.0,0,1,3
core/src/test/scala/org/apache/spark/rdd/PipedRDDSuite.scala,278,32,0.8165467625899281,0.12949640287769784,1,1.0,0.0,1,6,0.0,0.0,0.3333333333333333,0.0,0,0,37
core/src/test/scala/org/apache/spark/rdd/RDDOperationScopeSuite.scala,142,38,0.7816901408450704,0.09859154929577464,2,1.0,0.0,1,2,0.0,0.0,1.0,0.0,0,10,0
core/src/test/scala/org/apache/spark/rdd/RDDSuite.scala,1329,38,0.8540255831452219,0.12866817155756208,6,1.0,0.0,3,32,0.0625,0.0625,0.5,0.0,5,4,237
core/src/test/scala/org/apache/spark/rdd/RDDSuiteUtils.scala,31,38,0.3870967741935484,0.12903225806451613,4,0.25,0.0,2,2,0.0,0.0,0.0,0.0,0,0,0
core/src/test/scala/org/apache/spark/rdd/ZippedPartitionsSuite.scala,41,39,0.4878048780487805,0.14634146341463414,2,0.5,0.0,1,1,0.0,0.0,0.0,0.0,0,0,4
core/src/test/scala/org/apache/spark/resource/ResourceDiscoveryPluginSuite.scala,190,36,0.7842105263157895,0.1368421052631579,5,0.8,0.0,3,4,0.0,0.0,0.75,0.0,0,0,4
core/src/test/scala/org/apache/spark/resource/ResourceProfileSuite.scala,180,45,0.8,0.11666666666666667,1,1.0,0.0,1,1,0.0,0.0,1.0,0.0,0,1,0
core/src/test/scala/org/apache/spark/rpc/RpcEnvSuite.scala,996,31,0.8102409638554217,0.1686746987951807,4,1.0,0.0,1,49,0.061224489795918366,0.0,0.9183673469387755,0.0,1,11,4
core/src/test/scala/org/apache/spark/rpc/netty/InboxSuite.scala,139,29,0.6834532374100719,0.20863309352517986,1,1.0,0.0,1,2,0.0,0.0,1.0,0.0,0,0,5
core/src/test/scala/org/apache/spark/rpc/netty/NettyRpcEnvSuite.scala,138,35,0.7608695652173914,0.13043478260869565,1,1.0,0.0,1,3,0.0,0.0,0.6666666666666666,0.0,0,0,3
core/src/test/scala/org/apache/spark/scheduler/AdaptiveSchedulingSuite.scala,76,40,0.6973684210526315,0.10526315789473684,2,0.5,0.0,1,1,0.0,0.0,0.0,0.0,0,1,7
