LinesCount,LinesAvgLength,LineCommentCount,LineCodeCount,LineBlankCount,TypesCount,ClassCount,ObjectCount,TraitCount,MaxChildren,MethodCount,PrivateMethodCount,ProtectedMethodCount,MethodOverrideCount,FinalMethodCount,VarLocalCount,VarFieldCount,MagicNumbersCount,File
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveDDLSuite.scala
111,42,16,82,14,2,1,1,0,1,0,0,0,0,0,0,0,2,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/PruneFileSourcePartitionsSuite.scala
743,35,41,597,129,11,11,0,0,2,15,0,0,11,0,0,1,29,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveUDFSuite.scala
280,35,23,229,36,2,2,0,0,1,6,0,2,6,0,0,1,2,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/ScriptTransformationSuite.scala
484,38,86,381,59,1,1,0,0,1,10,0,6,1,0,0,0,1,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveComparisonTest.scala
140,39,26,112,11,1,1,0,0,1,0,0,0,0,0,0,0,2,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveSQLViewSuite.scala
195,38,23,163,17,1,1,0,0,1,2,2,0,0,0,0,0,2,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveTableScanSuite.scala
85,35,16,52,18,3,2,1,0,1,12,0,0,11,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/TestingTypedCount.scala
57,39,16,36,6,2,1,1,0,1,0,0,0,0,0,0,0,3,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/PruneHiveTablePartitionsSuite.scala
188,34,29,141,30,1,1,0,0,1,2,0,0,1,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/PruningSuite.scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveQuerySuite.scala
316,35,31,245,54,7,7,0,0,4,20,0,0,20,0,1,1,7,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveUDAFSuite.scala
128,34,21,100,10,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/BigDataBenchmarkSuite.scala
238,37,26,198,23,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveExplainSuite.scala
125,38,34,74,26,3,3,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveResolutionSuite.scala
40,39,16,21,4,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/ConcurrentHiveSuite.scala
71,40,32,38,9,1,1,0,0,1,3,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HiveQueryFileTest.scala
2550,36,693,1714,267,9,9,0,0,2,5,0,0,2,0,2,1,95,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/SQLQuerySuite.scala
37,40,17,17,5,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/SQLMetricsSuite.scala
1106,29,74,975,116,6,6,0,0,3,29,0,3,5,0,0,0,173,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/AggregationQuerySuite.scala
52,38,16,31,6,1,1,0,0,1,0,0,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/execution/HivePlanTest.scala
144,33,25,104,22,1,1,0,0,1,2,1,1,1,0,0,0,1,sql/hive/src/test/scala/org/apache/spark/sql/hive/ParquetHiveCompatibilitySuite.scala
81,39,18,57,9,1,1,0,0,1,2,0,0,2,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/ListTablesSuite.scala
100,30,21,64,17,1,1,0,0,1,4,4,0,0,0,0,0,0,sql/hive/src/test/scala/org/apache/spark/sql/hive/ClasspathDependenciesSuite.scala
