Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SPARK-32978,13329026,Incorrect number of dynamic part metric,LuciferYang,yumwang,Major,Resolved,Fixed,23/Sep/20 16:05,22/Oct/20 14:02,
Bug,SPARK-30777,13284386,PySpark test_arrow tests fail with Pandas >= 1.0.0,,bryanc,Major,Resolved,Fixed,10/Feb/20 19:03,22/Oct/20 03:16,
Bug,SPARK-32785,13325882,interval with dangling part should not results null,Qin Yao,Qin Yao,Major,Resolved,Fixed,03/Sep/20 09:21,21/Oct/20 07:32,
Bug,SPARK-33201,13336403,Mesos dispatcher service is not working due to empty --pyFiles conf in cluster mode which is the default,,amandeep.kaur,Major,Resolved,Duplicate,21/Oct/20 04:18,21/Oct/20 05:24,
Bug,SPARK-32675,13323862,--py-files option is appended without passing value for it,farhan5900,farhan5900,Major,Resolved,Fixed,21/Aug/20 00:58,21/Oct/20 04:56,
Bug,SPARK-32761,13325448,Planner error when aggregating multiple distinct Constant columns,liulinhong,linhongliu-db,Major,Resolved,Fixed,01/Sep/20 05:09,16/Oct/20 03:37,
Bug,SPARK-32816,13326384,Planner error when aggregating multiple distinct DECIMAL columns,linhongliu-db,linhongliu-db,Major,Resolved,Fixed,08/Sep/20 06:34,15/Oct/20 08:46,
Bug,SPARK-30893,13286461,Expressions should not change its data type/nullability after it's created,,cloud_fan,Critical,Resolved,Fixed,20/Feb/20 12:37,15/Oct/20 04:16,
Bug,SPARK-33118,13334960,CREATE TEMPORARY TABLE fails with location,planga82,planga82,Major,Resolved,Fixed,12/Oct/20 08:50,12/Oct/20 21:20,
Bug,SPARK-33016,13329722,Potential SQLMetrics missed which might cause WEB UI display issue while AQE is on.,leanken,leanken,Minor,Resolved,Fixed,28/Sep/20 10:37,12/Oct/20 14:49,
Bug,SPARK-27872,13236226,Driver and executors use a different service account breaking pull secrets,skonto,skonto,Major,Resolved,Fixed,29/May/19 12:19,12/Oct/20 03:38,
Bug,SPARK-20202,13061083,Remove references to org.spark-project.hive,dongjoon,omalley,Major,Resolved,Fixed,03/Apr/17 10:23,11/Oct/20 17:34,
Bug,SPARK-31430,13297946,Bug in the approximate quantile computation.,,siddarthan,Major,Resolved,Duplicate,13/Apr/20 05:02,09/Oct/20 18:44,
Bug,SPARK-31913,13309690,StackOverflowError in FileScanRDD,,uncleGen,Minor,Resolved,Cannot Reproduce,05/Jun/20 10:40,08/Oct/20 01:12,
Bug,SPARK-28067,13239824,Incorrect results in decimal aggregation with whole-stage code gen enabled,ksunitha,msirek,Critical,Resolved,Fixed,16/Jun/19 19:38,08/Oct/20 00:00,
Bug,SPARK-33019,13329793,Use spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version=1 by default,dongjoon,dongjoon,Blocker,Resolved,Fixed,28/Sep/20 18:40,07/Oct/20 21:01,
Bug,SPARK-33043,13330263,RowMatrix is incompatible with spark.driver.maxResultSize=0,srowen,karenfeng,Minor,Resolved,Fixed,01/Oct/20 00:31,06/Oct/20 23:58,
Bug,SPARK-32243,13315890,HiveSessionCatalog call super.makeFunctionExpression should show error message,angerszhuuu,angerszhuuu,Major,Resolved,Fixed,09/Jul/20 12:59,06/Oct/20 14:17,
Bug,SPARK-30201,13273590,HiveOutputWriter standardOI should use ObjectInspectorCopyOption.DEFAULT,ulysses,ulysses,Critical,Resolved,Fixed,10/Dec/19 11:11,06/Oct/20 03:13,
Bug,SPARK-32723,13324967,Upgrade to jQuery 3.5.1,petertoth,ashish23aks,Major,Resolved,Fixed,28/Aug/20 06:09,01/Oct/20 15:21,
